F000140	I000140
F000067	I000067
F000230	I000230
F000190	I000190
F000158	I000158
F000163	I000163
F000095	I000095
F000013	I000013
F000030	I000030
F000078	I000078
F000170	I000170
F000134	I000134
F000208	I000208
F000200	I000200
F000002	I000002
F000100	I000100
F000150	I000150
F000241	I000241
F000145	I000145
F000194	I000194
F000024	I000024
F000094	I000094
F000012	I000012
F000235	I000235
F000167	I000167
F000034	I000034
F000227	I000227
F000196	I000196
F000003	I000003
F000088	I000088
F000214	I000214
F000152	I000152
F000037	I000037
F000080	I000080
F000046	I000046
F000053	I000053
F000236	I000236
F000207	I000207
F000054	I000054
F000064	I000064
F000090	I000090
F000228	I000228
F000215	I000215
F000098	I000098
F000160	I000160
F000222	I000222
F000097	I000097
F000052	I000052
F000180	I000180
F000193	I000193
F000238	I000238
F000226	I000226
F000137	I000137
F000229	I000229
F000130	I000130
F000085	I000085
F000143	I000143
F000233	I000233
F000072	I000072
F000041	I000041
F000116	I000116
F000059	I000059
F000120	I000120
F000087	I000087
F000027	I000027
F000044	I000044
F000168	I000168
F000089	I000089
F000126	I000126
F000079	I000079
F000074	I000074
F000006	I000006
F000011	I000011
F000047	I000047
F000110	I000110
F000218	I000218
F000109	I000109
F000184	I000184
F000225	I000225
F000239	I000239
F000023	I000023
F000092	I000092
F000093	I000093
F000128	I000128
F000205	I000205
F000007	I000007
F000068	I000068
F000188	I000188
F000016	I000016
F000149	I000149
F000141	I000141
F000199	I000199
F000048	I000048
F000057	I000057
F000242	I000242
F000123	I000123
F000237	I000237
F000038	I000038
F000112	I000112
F000045	I000045
F000032	I000032
F000029	I000029
F000051	I000051
F000223	I000223
F000062	I000062
F000039	I000039
F000183	I000183
F000191	I000191
F000114	I000114
F000127	I000127
F000189	I000189
F000001	I000001
F000018	I000018
F000176	I000176
F000049	I000049
F000253	I000253
F000118	I000118
F000101	I000101
F000035	I000035
F000195	I000195
F000104	I000104
F000169	I000169
F000015	I000015
F000036	I000036
F000099	I000099
F000009	I000009
F000148	I000148
F000083	I000083
F000212	I000212
F000181	I000181
F000028	I000028
F000033	I000033
F000252	I000252
F000070	I000070
F000234	I000234
F000103	I000103
F000076	I000076
F000043	I000043
F000202	I000202
F000020	I000020
F000005	I000005
F000113	I000113
F000159	I000159
F000210	I000210
F000017	I000017
F000164	I000164
F000155	I000155
F000162	I000162
F000139	I000139
F000108	I000108
F000182	I000182
F000186	I000186
F000042	I000042
F000174	I000174
F000056	I000056
F000217	I000217
F000117	I000117
F000058	I000058
F000156	I000156
F000073	I000073
F000004	I000004
F000014	I000014
F000144	I000144
F000165	I000165
F000071	I000071
F000173	I000173
F000082	I000082
F000022	I000022
F000209	I000209
F000197	I000197
F000131	I000131
F000124	I000124
F000231	I000231
F000157	I000157
F000177	I000177
F000175	I000175
F000232	I000232
F000204	I000204
F000185	I000185
F000129	I000129
F000086	I000086
F000010	I000010
F000055	I000055
F000171	I000171
F000111	I000111
F000091	I000091
F000115	I000115
F000084	I000084
F000008	I000008
F000136	I000136
F000153	I000153
F000125	I000125
F000061	I000061
F000221	I000221
F000105	I000105
F000133	I000133
F000206	I000206
F000240	I000240
F000220	I000220
F000203	I000203
F000081	I000081
F000060	I000060
F000096	I000096
F000166	I000166
F000154	I000154
F000179	I000179
F000063	I000063
F000147	I000147
F000161	I000161
F000121	I000121
F000025	I000025
F000138	I000138
F000192	I000192
F000122	I000122
F000077	I000077
F000107	I000107
F000102	I000102
F000213	I000213
F000172	I000172
F000031	I000031
F000021	I000021
F000201	I000201
F000069	I000069
F000142	I000142
F000146	I000146
F000050	I000050
F000151	I000151
F000106	I000106
F000019	I000019
F000249	I000249
F000066	I000066
F000219	I000219
F000065	I000065
F000119	I000119
F000187	I000187
F000216	I000216
F000224	I000224
F000198	I000198
F000178	I000178
F000135	I000135
F000040	I000040
F000075	I000075
F000211	I000211
F000132	I000132
F000026	I000026
F000256	I000256
